Symbol,Name,Category
RELIANCE,Reliance Industries,Large
TCS,Tata Consultancy Services,Large
HDFCBANK,HDFC Bank,Large
ICICIBANK,ICICI Bank,Large
INFY,Infosys,Large
HINDUNILVR,Hindustan Unilever,Large
ITC,ITC Ltd,Large
SBIN,State Bank of India,Large
BHARTIARTL,Bharti Airtel,Large
KOTAKBANK,Kotak Mahindra Bank,Large
LT,Larsen & Toubro,Large
AXISBANK,Axis Bank,Large
BAJFINANCE,Bajaj Finance,Large
ASIANPAINT,Asian Paints,Large
MARUTI,Maruti Suzuki,Large
SUNPHARMA,Sun Pharmaceutical,Large
TITAN,Titan Company,Large
ULTRACEMCO,UltraTech Cement,Large
NESTLEIND,Nestle India,Large
WIPRO,Wipro,Large
ONGC,Oil & Natural Gas Corp,Large
NTPC,NTPC Ltd,Large
POWERGRID,Power Grid Corp,Large
M&M,Mahindra & Mahindra,Large
TATAMOTORS,Tata Motors,Large
TATASTEEL,Tata Steel,Large
JSWSTEEL,JSW Steel,Large
ADANIENT,Adani Enterprises,Large
ADANIPORTS,Adani Ports,Large
COALINDIA,Coal India,Large
HCLTECH,HCL Technologies,Large
BAJAJFINSV,Bajaj Finserv,Large
DRREDDY,Dr Reddy's Labs,Large
CIPLA,Cipla,Large
DIVISLAB,Divi's Laboratories,Large
GRASIM,Grasim Industries,Large
BRITANNIA,Britannia Industries,Large
EICHERMOT,Eicher Motors,Large
HEROMOTOCO,Hero MotoCorp,Large
BPCL,Bharat Petroleum,Large
IOC,Indian Oil Corp,Large
HDFCLIFE,HDFC Life Insurance,Large
SBILIFE,SBI Life Insurance,Large
INDUSINDBK,IndusInd Bank,Large
TECHM,Tech Mahindra,Large
UPL,UPL Ltd,Large
APOLLOHOSP,Apollo Hospitals,Large
BAJAJ-AUTO,Bajaj Auto,Large
HINDALCO,Hindalco Industries,Large
SHREECEM,Shree Cement,Large
GODREJPROP,Godrej Properties,Mid
ESCORTS,Escorts Kubota,Mid
PIIND,PI Industries,Mid
PAGEIND,Page Industries,Mid
AUROPHARMA,Aurobindo Pharma,Mid
MPHASIS,Mphasis,Mid
LTIM,LTIMindtree,Mid
PERSISTENT,Persistent Systems,Mid
COFORGE,Coforge,Mid
TRENT,Trent Ltd,Mid
INDIGO,InterGlobe Aviation,Mid
TVSMOTOR,TVS Motor Company,Mid
ASHOKLEY,Ashok Leyland,Mid
BHARATFORG,Bharat Forge,Mid
CUMMINSIND,Cummins India,Mid
SIEMENS,Siemens Ltd,Mid
ABB,ABB India,Mid
HAVELLS,Havells India,Mid
VOLTAS,Voltas Ltd,Mid
DIXON,Dixon Technologies,Mid
POLYCAB,Polycab India,Mid
BALKRISIND,Balkrishna Industries,Mid
MRF,MRF Ltd,Mid
GAIL,GAIL India,Mid
PETRONET,Petronet LNG,Mid
IGL,Indraprastha Gas,Mid
BANDHANBNK,Bandhan Bank,Mid
FEDERALBNK,Federal Bank,Mid
IDFCFIRSTB,IDFC First Bank,Mid
PNB,Punjab National Bank,Mid
BANKBARODA,Bank of Baroda,Mid
CANBK,Canara Bank,Mid
LICHSGFIN,LIC Housing Finance,Mid
CHOLAFIN,Cholamandalam Investment,Mid
MUTHOOTFIN,Muthoot Finance,Mid
RECLTD,REC Ltd,Mid
PFC,Power Finance Corp,Mid
IRCTC,IRCTC,Mid
ETERNAL,Eternal (formerly Zomato),Mid
POLICYBZR,PB Fintech,Mid
DEEPAKNTR,Deepak Nitrite,Mid
TATACHEM,Tata Chemicals,Mid
PIDILITIND,Pidilite Industries,Mid
BERGEPAINT,Berger Paints,Mid
JUBLFOOD,Jubilant FoodWorks,Mid
VBL,Varun Beverages,Mid
COLPAL,Colgate-Palmolive India,Mid
MARICO,Marico Ltd,Mid
CAMS,Computer Age Management Services,Small
CDSL,Central Depository Services,Small
ROUTE,Route Mobile,Small
LATENTVIEW,Latent View Analytics,Small
HAPPSTMNDS,Happiest Minds Technologies,Small
TANLA,Tanla Platforms,Small
INTELLECT,Intellect Design Arena,Small
SONATSOFTW,Sonata Software,Small
KPITTECH,KPIT Technologies,Small
MASTEK,Mastek Ltd,Small
ZENSARTECH,Zensar Technologies,Small
NAZARA,Nazara Technologies,Small
SAPPHIRE,Sapphire Foods India,Small
DEVYANI,Devyani International,Small
SAFARI,Safari Industries,Small
VIPIND,VIP Industries,Small
CENTURYPLY,Century Plyboards,Small
GREENPANEL,Greenpanel Industries,Small
GREENPLY,Greenply Industries,Small
KAJARIACER,Kajaria Ceramics,Small
CERA,Cera Sanitaryware,Small
ORIENTELEC,Orient Electric,Small
WHIRLPOOL,Whirlpool of India,Small
RATNAMANI,Ratnamani Metals,Small
JINDALSAW,Jindal Saw,Small
APLAPOLLO,APL Apollo Tubes,Small
HEG,HEG Ltd,Small
GRAPHITE,Graphite India,Small
GMMPFAUDLR,GMM Pfaudler,Small
TIMKEN,Timken India,Small
SKFINDIA,SKF India,Small
SCHAEFFLER,Schaeffler India,Small
FINEORG,Fine Organic Industries,Small
VINATIORGA,Vinati Organics,Small
CLEAN,Clean Science and Technology,Small
ALKYLAMINE,Alkyl Amines Chemicals,Small
NAVINFLUOR,Navin Fluorine International,Small
AARTIIND,Aarti Industries,Small
GALAXYSURF,Galaxy Surfactants,Small
SUPREMEIND,Supreme Industries,Small
ASTRAL,Astral Ltd,Small
NATIONALUM,National Aluminium Co,Small
HINDCOPPER,Hindustan Copper,Small
VEDL,Vedanta Ltd,Small
